                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97761,                 3.0721,                 1.4835,                0.00333,                      1,                0.28326,                0.20715,                0.55992,                 3.5944,                 1.3852,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.93744,                 2.9615,                 1.4211,                0.00336,                      1,                0.34851,                0.23504,                0.72778,                 3.6343,                 1.4797,             0.00014706,             0.00014706,             0.00014706
                      3,                0.77114,                 2.8128,                 1.3226,                0.00341,                      1,                0.35897,                0.26012,                0.72716,                 3.6105,                 1.4388,             0.00022414,             0.00022414,             0.00022414
                      4,                0.82074,                 2.6439,                 1.3524,                0.00339,                      1,                0.45855,                0.28193,                0.61592,                  3.562,                 1.3485,             0.00029792,             0.00029792,             0.00029792
                      5,                0.83192,                 2.5617,                 1.3803,                0.00334,                      1,                0.51681,                 0.3418,                0.58676,                 3.5848,                 1.3397,             0.00036839,             0.00036839,             0.00036839
                      6,                 0.8495,                 2.4189,                 1.3094,                0.00333,                      1,                0.56564,                0.40473,                0.62434,                 3.5767,                  1.412,             0.00043557,             0.00043557,             0.00043557
                      7,                0.89747,                 2.2851,                 1.4317,                0.00342,                      1,                0.44855,                0.29172,                0.75572,                 3.6839,                 1.5099,             0.00049945,             0.00049945,             0.00049945
                      8,                0.86771,                 2.1725,                 1.3897,                0.00363,                      1,                0.34172,                0.14743,                 1.0823,                 3.9521,                 1.7958,             0.00056002,             0.00056002,             0.00056002
                      9,                0.90892,                  2.047,                 1.4227,                0.00435,                      1,                0.37052,                0.20286,                 1.4877,                 3.9797,                 2.4151,              0.0006173,              0.0006173,              0.0006173
                     10,                0.95106,                 1.9626,                 1.4715,                0.00495,                      1,                0.31496,                 0.1498,                 1.7852,                 4.0829,                 2.6817,             0.00067127,             0.00067127,             0.00067127
                     11,                0.85613,                 1.6881,                 1.3205,                0.00533,                      1,                0.36486,                0.15859,                 1.3635,                 3.8982,                 2.2958,             0.00072194,             0.00072194,             0.00072194
                     12,                0.89188,                 1.7517,                 1.4051,                0.00465,                      1,                 0.5815,                0.36653,                0.98398,                 3.6577,                 1.7862,             0.00076932,             0.00076932,             0.00076932
                     13,                 1.0071,                 1.8582,                 1.5307,                0.00444,                      1,                0.62358,                0.44672,                 1.0785,                 3.5391,                   1.86,             0.00081339,             0.00081339,             0.00081339
                     14,                 1.0414,                 1.7805,                  1.535,                0.00433,                0.92857,                0.77191,                0.47476,                 1.0506,                 3.5372,                 1.9643,             0.00085416,             0.00085416,             0.00085416
                     15,                0.86432,                 1.5849,                 1.3234,                0.00406,                      1,                0.57517,                0.39584,                0.97735,                 3.4173,                 1.8232,             0.00089163,             0.00089163,             0.00089163
                     16,                0.94071,                 1.7931,                 1.4177,                 0.4045,                0.63095,                0.54886,                0.39901,                 1.0211,                 3.3725,                  1.789,              0.0009258,              0.0009258,              0.0009258
                     17,                0.93436,                 1.7101,                 1.3826,                0.00373,                      1,                0.61859,                0.34264,                 1.0808,                 3.2953,                 1.8855,             0.00095667,             0.00095667,             0.00095667
                     18,                0.94605,                 1.6616,                 1.4336,                      1,                0.24895,                 0.7082,                0.48999,                 1.0996,                 3.0928,                 1.9071,             0.00098424,             0.00098424,             0.00098424
                     19,                0.94046,                 1.6681,                  1.426,                 0.9048,                0.53616,                0.72806,                0.46492,                 1.1544,                 2.9489,                 2.2226,              0.0010085,              0.0010085,              0.0010085
                     20,                0.92875,                 1.6511,                  1.453,                0.92432,                0.35714,                0.65152,                0.36647,                 1.1481,                  3.052,                  2.239,              0.0010295,              0.0010295,              0.0010295
                     21,                0.89564,                 1.5959,                   1.37,                0.87955,                0.22727,                0.56663,                0.30998,                 1.0848,                 3.1323,                 2.0509,              0.0010069,              0.0010069,              0.0010069
                     22,                0.88244,                 1.5738,                 1.3428,                0.89758,                0.35714,                0.61785,                0.33781,                  1.009,                 3.1137,                 1.9127,             0.00097386,             0.00097386,             0.00097386
                     23,                0.84247,                 1.4717,                   1.33,                0.82747,                0.48578,                 0.7747,                0.43786,                 1.0341,                 2.9144,                  1.894,             0.00094085,             0.00094085,             0.00094085
                     24,                0.85703,                 1.3937,                 1.3394,                 0.7374,                0.77439,                0.86659,                0.49072,                 1.1767,                 2.5305,                 2.2823,             0.00090785,             0.00090785,             0.00090785
                     25,                0.88556,                 1.4465,                  1.376,                0.68006,                0.66667,                0.77796,                0.39943,                 1.3428,                 2.5024,                 2.5131,             0.00087484,             0.00087484,             0.00087484
                     26,                0.89424,                 1.3537,                  1.359,                0.74263,                0.74188,                0.81051,                0.43758,                 1.2038,                 2.6532,                 2.2603,             0.00084184,             0.00084184,             0.00084184
                     27,                0.87722,                 1.2683,                 1.3189,                0.72282,                   0.75,                0.80288,                0.47229,                 1.1141,                 2.6251,                 1.9901,             0.00080883,             0.00080883,             0.00080883
                     28,                0.81678,                 1.4073,                 1.3401,                0.66399,                0.43644,                0.73206,                0.52202,                0.89688,                 2.7809,                 1.7254,             0.00077582,             0.00077582,             0.00077582
                     29,                0.79313,                 1.2013,                 1.2564,                0.68423,                0.53571,                0.75448,                0.53907,                0.92048,                 2.5967,                 1.7038,             0.00074282,             0.00074282,             0.00074282
                     30,                0.78254,                 1.2489,                 1.2902,                0.66253,                0.76849,                0.77663,                0.53413,                 0.9243,                 2.3983,                 1.7219,             0.00070981,             0.00070981,             0.00070981
                     31,                0.78547,                 1.2852,                 1.2927,                0.58851,                0.85714,                0.80932,                0.57891,                0.93621,                 2.2576,                 1.7611,              0.0006768,              0.0006768,              0.0006768
                     32,                0.76685,                 1.1985,                 1.2602,                0.90624,                0.77738,                0.94597,                0.58733,                 1.1972,                 2.1335,                 2.1788,              0.0006438,              0.0006438,              0.0006438
                     33,                0.77099,                 1.1883,                 1.2693,                0.69952,                   0.97,                0.94597,                 0.5398,                  1.297,                  2.153,                 2.3822,             0.00061079,             0.00061079,             0.00061079
                     34,                0.77402,                  1.249,                 1.2743,                0.72759,                0.96045,                0.94043,                0.57259,                 1.2575,                 2.1292,                 2.2222,             0.00057778,             0.00057778,             0.00057778
                     35,                0.77733,                 1.2309,                 1.2584,                 0.8585,                 0.7619,                0.90488,                 0.6087,                 1.0801,                 2.0894,                 1.9309,             0.00054478,             0.00054478,             0.00054478
                     36,                0.67793,                 1.0729,                 1.1828,                   0.81,                0.84524,                0.88262,                0.63531,                 0.9809,                 2.0732,                 1.7843,             0.00051177,             0.00051177,             0.00051177
                     37,                0.71455,                 1.1682,                 1.2329,                0.80536,                0.84524,                0.88239,                 0.5808,                  1.035,                 2.1278,                 1.8093,             0.00047876,             0.00047876,             0.00047876
                     38,                0.76449,                 1.1653,                 1.2567,                0.76078,                0.84524,                0.82933,                0.57133,                 1.1167,                 2.1459,                 1.9526,             0.00044576,             0.00044576,             0.00044576
                     39,                0.75034,                 1.1505,                  1.232,                0.75367,                0.84524,                  0.841,                0.52405,                 1.1301,                 2.1622,                 2.0017,             0.00041275,             0.00041275,             0.00041275
                     40,                0.65098,                 1.0392,                 1.1683,                0.72237,                0.97412,                0.91383,                0.63471,                 1.0571,                 1.8586,                 1.8754,             0.00037974,             0.00037974,             0.00037974
                     41,                0.51639,                 1.3211,                 1.1339,                0.77302,                0.93904,                0.93304,                0.65126,                 1.0703,                 1.8014,                  1.881,             0.00034674,             0.00034674,             0.00034674
                     42,                0.53496,                 1.2581,                 1.1759,                0.79608,                0.94365,                0.94518,                0.66208,                 1.1188,                  1.755,                 1.9896,             0.00031373,             0.00031373,             0.00031373
                     43,                0.56185,                 1.3212,                 1.1661,                0.81423,                0.91164,                0.93667,                0.65791,                 1.1062,                 1.7517,                 1.9956,             0.00028072,             0.00028072,             0.00028072
                     44,                0.51806,                 1.2876,                 1.1936,                0.81461,                0.90251,                0.92792,                0.68288,                 1.0534,                 1.7991,                 1.8829,             0.00024772,             0.00024772,             0.00024772
                     45,                0.49758,                 1.2616,                 1.0924,                0.80907,                0.90491,                0.94333,                0.72736,                 0.9978,                 1.7872,                 1.7924,             0.00021471,             0.00021471,             0.00021471
                     46,                0.45594,                 1.2364,                 1.0897,                0.80646,                0.83333,                  0.945,                0.73072,                0.94223,                 1.7803,                 1.6892,              0.0001817,              0.0001817,              0.0001817
                     47,                0.42358,                 1.2006,                 1.0727,                0.83813,                0.89429,                0.92458,                 0.7209,                0.87644,                 1.7828,                 1.6209,              0.0001487,              0.0001487,              0.0001487
                     48,                0.44759,                 1.1546,                 1.0818,                0.75387,                0.99313,                0.88986,                0.68353,                0.85242,                 1.7288,                 1.5804,             0.00011569,             0.00011569,             0.00011569
                     49,                0.41651,                 1.1075,                 1.0566,                0.75148,                0.98605,                0.88986,                 0.6686,                0.85441,                 1.7066,                 1.5906,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.40611,                 1.1122,                 1.0238,                0.74578,                0.98399,                0.90361,                0.67959,                0.85043,                 1.6854,                 1.5871,             4.9677e-05,             4.9677e-05,             4.9677e-05
